cell_lat,cell_lon,cell_id,cell_az_deg,cell_carrier_freq_mhz
37.760714,-122.443939,cell_1,0,2100
37.760714,-122.443939,cell_2,120,2100
37.760714,-122.443939,cell_3,240,2100
37.760714,-122.402779,cell_4,0,2100
37.760714,-122.402779,cell_5,120,2100
37.760714,-122.402779,cell_6,240,2100
37.760714,-122.36162,cell_7,0,2100
37.760714,-122.36162,cell_8,120,2100
37.760714,-122.36162,cell_9,240,2100
37.796359,-122.423359,cell_10,0,2100
37.796359,-122.423359,cell_11,120,2100
37.796359,-122.423359,cell_12,240,2100
37.796359,-122.382199,cell_13,0,2100
37.796359,-122.382199,cell_14,120,2100
37.796359,-122.382199,cell_15,240,2100
37.832004,-122.443939,cell_16,0,2100
37.832004,-122.443939,cell_17,120,2100
37.832004,-122.443939,cell_18,240,2100
37.832004,-122.402779,cell_19,0,2100
37.832004,-122.402779,cell_20,120,2100
37.832004,-122.402779,cell_21,240,2100
