ecgi,site_id,cell_name,enodeb_id,cell_az_deg,tac,cell_lat,cell_lon,cell_id,cell_carrier_freq_mhz
1001,Site1,Site1_Cell1,1,0,1,40.78688262983015,-74.01093352908987,cell_1_0,2100
1001,Site1,Site1_Cell2,1,120,1,40.78688262983015,-74.01093352908987,cell_1_1,2100
1001,Site1,Site1_Cell3,1,240,1,40.78688262983015,-74.01093352908987,cell_1_2,2100
1004,Site2,Site2_Cell1,2,0,1,40.75540374520166,-73.9917722987055,cell_2_0,2100
1004,Site2,Site2_Cell2,2,120,1,40.75540374520166,-73.9917722987055,cell_2_1,2100
1004,Site2,Site2_Cell3,2,240,1,40.75540374520166,-73.9917722987055,cell_2_2,2100
1007,Site3,Site3_Cell1,3,0,1,40.73415238558653,-73.97758409792564,cell_3_0,2100
1007,Site3,Site3_Cell2,3,120,1,40.73415238558653,-73.97758409792564,cell_3_1,2100
1007,Site3,Site3_Cell3,3,240,1,40.73415238558653,-73.97758409792564,cell_3_2,2100
1010,Site4,Site4_Cell1,4,0,1,40.78835135687092,-74.03802278243002,cell_4_0,2100
1010,Site4,Site4_Cell2,4,120,1,40.78835135687092,-74.03802278243002,cell_4_1,2100
1010,Site4,Site4_Cell3,4,240,1,40.78835135687092,-74.03802278243002,cell_4_2,2100
1013,Site5,Site5_Cell1,5,0,1,40.72290613419481,-74.00462003876487,cell_5_0,2100
1013,Site5,Site5_Cell2,5,120,1,40.72290613419481,-74.00462003876487,cell_5_1,2100
1013,Site5,Site5_Cell3,5,240,1,40.72290613419481,-74.00462003876487,cell_5_2,2100
