ue_id,loc_x,loc_y,tick,cell_lat,cell_lon,cell_id,cell_az_deg,cell_carrier_freq_mhz,distance_km,relative_bearing,cell_el_deg,cell_rxpower_dbm
0,51.20535802890328,-18.291827769374905,0,-90.0,-180.0,1,0,2100,15.892758684781597,231.20535802890328,0.0,-99.8929713419565
1,20.358091180733794,70.68567917919134,0,-90.0,-180.0,1,0,2100,16.699604049711706,200.3580911807338,0.0,-100.33241688764355
2,22.49990746095409,-53.21105732666324,0,-90.0,-180.0,1,0,2100,15.225351413658034,202.49990746095406,0.0,-99.54973084885974
3,-74.47932863872016,-88.34634359726613,0,-90.0,-180.0,1,0,2100,12.123148110457498,105.52067136127994,0.0,-97.63066136578618
4,-178.30023394141617,-43.70960001708253,0,-90.0,-180.0,1,0,2100,15.455088630158562,1.6997660585838048,0.0,-99.44198235669917
5,-24.048312225830216,-41.2820909861415,0,-90.0,-180.0,1,0,2100,15.506200728722717,155.95168777416984,0.0,-99.70428022236075
6,-108.47836824519521,32.38174938392123,0,-90.0,-180.0,1,0,2100,16.42729916630802,71.52163175480479,0.0,-100.06139763617905
7,175.5473273801415,43.42275000503383,0,-90.0,-180.0,1,0,2100,16.513676566322644,355.5473273801415,0.0,-99.89562567676607
8,155.23613400067836,-10.092506602099107,0,-90.0,-180.0,1,0,2100,16.001023585784033,335.23613400067836,0.0,-99.74205344849716
9,75.79971720635524,-45.57713916436796,0,-90.0,-180.0,1,0,2100,15.41390826312138,255.79971720635524,0.0,-99.61177227896951
10,-88.92890944562123,-80.67878968295952,0,-90.0,-180.0,1,0,2100,13.852447286631714,91.07109055437877,0.0,-98.7416900789415
11,178.3253570450301,80.49500681013097,0,-90.0,-180.0,1,0,2100,16.758859903697246,358.3253570450301,0.0,-99.98233637792208
12,105.93076090303862,-8.897956093410059,0,-90.0,-180.0,1,0,2100,16.015862114153375,285.9307609030386,0.0,-99.86981154153
13,33.49493922489975,-65.93226428869107,0,-90.0,-180.0,1,0,2100,14.801026389912954,213.49493922489972,0.0,-99.30715089892652
14,34.35681487060319,-71.56768198214515,0,-90.0,-180.0,1,0,2100,14.53425986558365,214.35681487060316,0.0,-99.1542714228744
15,-182.07511525519877,10.7702422697906,0,-90.0,-180.0,1,0,2100,16.23299702590513,357.9248847448012,0.0,-99.77311791632364
16,174.22350336551216,-77.87783799303831,0,-90.0,-180.0,1,0,2100,14.115189929486103,354.22350336551216,0.0,-98.83944106279453
17,-6.050434142557435,34.297205940962726,0,-90.0,-180.0,1,0,2100,16.44282943246956,173.94956585744262,0.0,-100.20809338718027
18,107.8162105821122,-43.419766185566495,0,-90.0,-180.0,1,0,2100,15.461330317214104,287.81621058211215,0.0,-99.59015111767714
19,-157.8686175716932,31.990420610946927,0,-90.0,-180.0,1,0,2100,16.42409643599126,22.13138242830678,0.0,-99.9183771179911
20,-5.7875298055867574,45.56210974058229,0,-90.0,-180.0,1,0,2100,16.529583816318475,174.2124701944133,0.0,-100.25227639435411
21,-2.759699771969224,53.71002764327855,0,-90.0,-180.0,1,0,2100,16.587951475234593,177.24030022803072,0.0,-100.28208661606178
